line,conv,group,name,text,sentiment
L959,u9,m0,PATRICK,That's where I was last year. She'd never lived alone my grandfather died I stayed with her. I wasn't in jail I don't know Marilyn Manson and I've never slept with a Spice Girl. I spent a year sitting next to my grandma on the couch watching Wheel of Fortune. End of story.,negative
L958,u5,m0,KAT,What?,negative
L957,u9,m0,PATRICK,My grandmother's .,positive
L940,u5,m0,KAT,Look I'm sorry that I questioned your motives. I was wrong.,negative
L939,u9,m0,PATRICK,Oh huh,positive
L938,u5,m0,KAT,It's just something I had. You know,postive
L937,u9,m0,PATRICK,It's Scurvy's. His date got convicted. Where'd you get the dress?,negative
L936,u5,m0,KAT,How'd you get a tux at the last minute?,neutral
L857,u9,m0,PATRICK,Nothing! There's nothing in it for me. Just the pleasure of your company.,positive
L856,u5,m0,KAT,Answer the question Patrick,postive
L855,u9,m0,PATRICK,You need therapy. Has anyone ever told you that?,negative
L854,u5,m0,KAT,You tell me.,negative
L853,u9,m0,PATRICK,So I have to have a motive to be with you?,positive
L852,u5,m0,KAT,Create a little drama? Start a new rumor? What?,neutral
L848,u5,m0,KAT,Because I don't want to. It's a stupid tradition.,negative
L847,u9,m0,PATRICK,Why not?,negative
L846,u5,m0,KAT,No I won't go with you,negative
L845,u9,m0,PATRICK,No what?,negative
L844,u5,m0,KAT,No.,negative
L843,u9,m0,PATRICK,You know what I mean,positive
L842,u5,m0,KAT,Is that a request or a command?,neutral
L841,u9,m0,PATRICK,Go to the prom with me,neutral
L840,u5,m0,KAT,You're amazingly selfassured. Has anyone ever told you that?,positive
L839,u9,m0,PATRICK,No one else knows,negative
L838,u5,m0,KAT,What?,negative
L837,u9,m0,PATRICK,You're sweet. And sexy. And completely hot for me.,positive
L836,u5,m0,KAT,No something real. Something no one else knows.,negative
L835,u9,m0,PATRICK,I hate peas.,negative
L834,u5,m0,KAT,Tell me something true.,positive
L832,u5,m0,KAT,I know the porn career's a lie.,negative
L831,u9,m0,PATRICK,Hearsay.,positive
L830,u5,m0,KAT,The duck?,negative
L829,u9,m0,PATRICK,Fallacy.,positive
L828,u5,m0,KAT,State trooper?,negative
L825,u5,m0,KAT,For. . . ?,positive
L824,u9,m0,PATRICK,You up for it?,negative
L823,u9,m0,PATRICK,You never disappointed me.,positive
L822,u5,m0,KAT,How?,neutral
L821,u9,m0,PATRICK,Then you screwed up,negative
L820,u5,m0,KAT,Something like that,neutral
L819,u9,m0,PATRICK,So if you disappoint them from the start you're covered?,neutral
L818,u5,m0,KAT,I don't like to do what people expect. Then they expect it all the time and they get disappointed when you change.,negative
L817,u9,m0,PATRICK,Yes,positive
L816,u5,m0,KAT,Acting the way we do.,negative
L815,u9,m0,PATRICK,So what's your excuse?,negative
L814,u5,m0,KAT,Yeah well don't let it get out,negative
L813,u9,m0,PATRICK,A soft side? Who knew?,neutral
L812,u5,m0,KAT,I dazzled him with my wit,positive
L811,u9,m0,PATRICK,So how'd you get Chapin to look the other way?,neutral
L810,u5,m0,KAT,Good call.,positive
L809,u9,m0,PATRICK,I figured it had to be something ridiculous to win your respect. And piss you off.,negative
L808,u5,m0,KAT,The Partridge Family?,positive
L806,u9,m0,PATRICK,Maybe.,neutral
L805,u5,m0,KAT,You want me to climb up and show you how to get down?,neutral
L804,u9,m0,PATRICK,Forget it. I'm stayin'.,positive
L803,u5,m0,KAT,Put your right foot there,neutral
L802,u9,m0,PATRICK,Try lookin' at it from this angle,neutral
L801,u5,m0,KAT,C'mon. It's not that bad,negative
L800,u9,m0,PATRICK,I guess I never told you I'm afraid of heights.,negative
L799,u9,m0,PATRICK,Look up sunshine,neutral
L798,u5,m0,KAT,He left! I sprung the dickhead and he cruised on me.,negative
L774,u5,m0,KAT,Other than my upchuck reflex? Nothing.,negative
L773,u9,m0,PATRICK,So what did I have an effect on ?,negative
L772,u5,m0,KAT,Don't for one minute think that you had any effect whatsoever on my panties.,negative
L771,u9,m0,PATRICK,Unwelcome? I guess someone still has her panties in a twist.,neutral
L770,u5,m0,KAT,Unwelcome.,positive
L769,u9,m0,PATRICK,Wholesome.,positive
L768,u9,m0,PATRICK,Pleasant?,positive
L767,u5,m0,KAT,You 're so,positive
L766,u9,m0,PATRICK,I heard there was a poetry reading.,positive
L765,u5,m0,KAT,What are you doing here?,neutral
L764,u9,m0,PATRICK,Excuse me have you seen The Feminine Mystique? I lost my copy.,negative
L690,u9,m0,PATRICK,No offense but you're sister is without. I know everyone likes her and all but ,negative
L689,u5,m0,KAT,BIANCA,positive
L688,u9,m0,PATRICK,Who?,neutral
L687,u5,m0,KAT,He just wants me to be someone I'm not.,negative
L686,u9,m0,PATRICK,So what ' s up with your dad? He a pain in the ass?,negative
L684,u9,m0,PATRICK,I'm gettin' there,neutral
L683,u5,m0,KAT,Oh so now you think you know me?,negative
L682,u9,m0,PATRICK,You don't strike me as the type that would ask permission.,negative
L681,u5,m0,KAT,My father wouldn't approve of that that,negative
L680,u9,m0,PATRICK,Start a band?,neutral
L679,u5,m0,KAT,This.,negative
L678,u9,m0,PATRICK,Do what?,neutral
L677,u5,m0,KAT,I should do this.,neutral
L676,u5,m0,KAT,Why'd you lie?,negative
L675,u9,m0,PATRICK,Then why'd you ask?,negative
L674,u5,m0,KAT,No you weren't,negative
L673,u9,m0,PATRICK,Maybe.,neutral
L672,u5,m0,KAT,Were you in jail?,negative
L671,u9,m0,PATRICK,Busy,negative
L670,u5,m0,KAT,When you were gone last year where were you?,negative
L669,u5,m0,KAT,But it's Gigglepuss  I know you like them. I saw you there.,negative
L668,u9,m0,PATRICK,And I'm in control of it.,positive
L651,u5,m0,KAT,What?,negative
L650,u9,m0,PATRICK,Kat! Wake up!,negative
L646,u5,m0,KAT,You know what they say,neutral
L645,u9,m0,PATRICK,I thought you were above all that,negative
L644,u5,m0,KAT,Hey man. . . You don ' t think I can be cool? You don't think I can be laid back like everyone else?,negative
L643,u9,m0,PATRICK,I know. It'd have to be a pretty big deal to get you to mainline tequila. You don't seem like the type.,neutral
L642,u5,m0,KAT,I hate him.,negative
L641,u9,m0,PATRICK,Dorsey.,neutral
L640,u5,m0,KAT,Who?,neutral
L639,u9,m0,PATRICK,Why'd you let him get to you?,negative
L636,u5,m0,KAT,Just let me sit down.,negative
L635,u9,m0,PATRICK,See that? Who needs affection when I've got blind hatred?,negative
L634,u5,m0,KAT,Like you could find one,neutral
L633,u9,m0,PATRICK,Because then I'd have to start taking out girls who like me.,positive
L632,u5,m0,KAT,Why?,negative
L631,u9,m0,PATRICK,Sure I do,neutral
L630,u5,m0,KAT,You don't care if I die,negative
L629,u9,m0,PATRICK,I told you,positive
L628,u5,m0,KAT,Why 're you doing this?,negative
L627,u9,m0,PATRICK,Leave it to you to use big words when you're shitfaced.,neutral
L626,u5,m0,KAT,This is so patronizing.,negative
L616,u9,m0,PATRICK,What if you have a concussion? My dog went to sleep with a concussion and woke up a vegetable. Not that I could tell the difference,negative
L615,u5,m0,KAT,I know just let me sleep,negative
L614,u9,m0,PATRICK,Uh uh. You lie down and you'll go to sleep,negative
L613,u5,m0,KAT,I just need to lie down for awhile,negative
L612,u9,m0,PATRICK,You're not okay.,negative
L611,u5,m0,KAT,I'm fine. I'm,positive
L610,u9,m0,PATRICK,Okay?,positive
L567,u5,m0,KAT,Funny you're the only one,positive
L566,u9,m0,PATRICK,I say do what you wanna do.,neutral
L565,u5,m0,KAT,I'm getting trashed man. Isn't that what you're supposed to do at a party?,negative
L564,u9,m0,PATRICK,What's this?,negative
L483,u9,m0,PATRICK,Why don't you?,negative
L482,u5,m0,KAT,You know who The Raincoats are?,neutral
L481,u9,m0,PATRICK,You know these guys are no Bikini Kill or The Raincoats but they're right up there.,neutral
L477,u9,m0,PATRICK,Do you mind? You're sort of ruining it for me.,negative
L476,u5,m0,KAT,That's what you want isn't it?,negative
L475,u9,m0,PATRICK,Excuse me?,negative
L474,u5,m0,KAT,,#VALUE!
L473,u9,m0,PATRICK,hey. Great show huh?,positive
L334,u5,m0,KAT,Depends on the topic. My fenders don't really whip me into a verbal frenzy.,negative
L333,u9,m0,PATRICK,You're not a big talker are you?,negative
L332,u5,m0,KAT,Hi,neutral
L331,u9,m0,PATRICK,I was in the laundromat. I saw your car. Thought I'd say hi.,neutral
L330,u5,m0,KAT,Are you following me?,negative
L328,u9,m0,PATRICK,Seventhirty?,negative
L327,u5,m0,KAT,You covered in my vomit.,negative
L326,u9,m0,PATRICK,Come on the ponies the flat beer you with money in your eyes me with my hand on your ass,neutral
L325,u5,m0,KAT,And why would I do that?,negative
L324,u9,m0,PATRICK,Then say you'll spend Dollar Night at the track with me.,positive
L323,u5,m0,KAT,I don't really think you warrant that strong an emotion.,positive
L322,u9,m0,PATRICK,You hate me don't you?,negative
L313,u9,m0,PATRICK,I know a lot more than that,positive
L312,u5,m0,KAT,Like where? The 7Eleven on Burnside? Do you even know my name screwboy?,negative
L311,u9,m0,PATRICK,The night I take you to places you've never been before. And back.,positive
L310,u5,m0,KAT,Oh right. Friday.,positive
L309,u9,m0,PATRICK,Pick you up Friday then,neutral
L307,u5,m0,KAT,My mission in life.,positive
L306,u9,m0,PATRICK,There's a way to get a guy's attention.,positive
L305,u5,m0,KAT,Sweating like a pig actually. And yourself?,positive
L304,u9,m0,PATRICK,I mean Woman. How ya doin'?,positive
L1000,u11,m0,WALTER,Oh Christ. Don't tell me you've changed your mind. I already sent 'em a check.,negative
L999,u5,m0,KAT,When I go?,negative
L998,u11,m0,WALTER,You know fathers don't like to admit that their daughters are capable of running their own lives. It means we've become spectators. Bianca still lets me play a few innings. You've had me on the bleachers for years. When you go to Sarah Lawrence I won't even be able to watch the game.,positive
L997,u11,m0,WALTER,No impressed.,negative
L996,u5,m0,KAT,What's the matter? Upset that I rubbed off on her?,negative
L995,u11,m0,WALTER,Bianca did what?,negative
L994,u5,m0,KAT,The part where Bianca beat the hell out of some guy.,positive
L993,u11,m0,WALTER,Which parts?,neutral
L992,u5,m0,KAT,Parts of it.,neutral
L991,u11,m0,WALTER,So tell me about this dance. Was it fun?,positive
L990,u5,m0,KAT,No Daddy.,negative
L989,u11,m0,WALTER,I don't understand the allure of dehydrated food. Is this something I should be hip to?,negative
L988,u11,m0,WALTER,Funny.,positive
L987,u5,m0,KAT,Yeah. She left with some bikers Big ones. Full of sperm.,negative
L986,u11,m0,WALTER,Was that your sister?,neutral
L347,u5,m0,KAT,I want to go to an East Coast school! I want you to trust me to make my own choices. I want,positive
L346,u11,m0,WALTER,You're eighteen. You don't know what you want. You won't know until you're fortyfive and you don't have it.,negative
L345,u5,m0,KAT,So what I want doesn't matter?,negative
L344,u11,m0,WALTER,As a parent that's my right,positive
L343,u5,m0,KAT,Because you're making decisions for me.,positive
L342,u11,m0,WALTER,Why can't we agree on this?,negative
L341,u5,m0,KAT,I thought you were punishing me.,negative
L340,u11,m0,WALTER,Is this about Sarah Lawrence? You punishing me?,negative
L339,u5,m0,KAT,Then tell them I had a seizure.,negative
L338,u11,m0,WALTER,My insurance does not cover PMS,negative
L185,u11,m0,WALTER,Enough!,positive
L184,u5,m0,KAT,This from someone whose diary is devoted to favorite grooming tips?,neutral
L174,u5,m0,KAT,You decided.,positive
L173,u11,m0,WALTER,I thought we decided you were going to school here. At U of 0.,negative
L172,u5,m0,KAT,I know.,positive
L1018,u8,m0,MISS PERKY,Just smack her now.,positive
L1017,u5,m0,KAT,Am I supposed to feel better? Like right now? Or do I have some time to think about it?,negative
L109,u8,m0,MISS PERKY,No  I believe heinous bitch is the term used most often.,neutral
L108,u5,m0,KAT,Tempestuous?,negative
L107,u8,m0,MISS PERKY,The point is Kat people perceive you as somewhat ,negative
L106,u5,m0,KAT,I still maintain that he kicked himself in the balls. I was merely a spectator.,positive
L105,u8,m0,MISS PERKY,Well yes compared to your other choices of expression this year today's events are quite mild. By the way Bobby Rictor's gonad retrieval operation went quite well in case you're interested.,positive
L104,u5,m0,KAT,Expressing my opinion is not a terrorist action.,negative
L103,u8,m0,MISS PERKY,Katarina Stratford. My my. You've been terrorizing Ms. Blaise again.,positive
L738,u6,m0,MANDELLA,Yeah,neutral
L737,u7,m0,MICHAEL,Kat a fan too?,positive
L736,u6,m0,MANDELLA,Right.,positive
L735,u7,m0,MICHAEL,Macbeth right?,neutral
L733,u7,m0,MICHAEL,Oh yeah.,positive
L732,u6,m0,MANDELLA,You think?,negative
L731,u6,m0,MANDELLA,Yeah. I guess.,positive
L730,u7,m0,MICHAEL,Cool pictures. You a fan?,positive
L729,u6,m0,MANDELLA,Hi.,neutral
L728,u7,m0,MICHAEL,Hey there. Tired of breathing?,negative
L777,u9,m0,PATRICK,Man don't say shit like that to me. People can hear you.,negative
L776,u7,m0,MICHAEL,Sweet love renew thy force!,positive
L775,u9,m0,PATRICK,You were right. She's still pissed.,negative
L724,u9,m0,PATRICK,No  I've got a sweetpayin' job that I'm about to lose.,negative
L723,u7,m0,MICHAEL,So you got cozy with she who stings?,negative
L437,u9,m0,PATRICK,I'm likin' you guys better,positive
L436,u7,m0,MICHAEL,I prefer to think of it simply as an alternative to what the law allows.,positive
L429,u9,m0,PATRICK,Yeah.,positive
L428,u7,m0,MICHAEL,Ever been to Club Skunk?,negative
L421,u7,m0,MICHAEL,Just for now.,positive
L420,u9,m0,PATRICK,Are you telling me I'm a  nonsmoker?,negative
L415,u7,m0,MICHAEL,Good enough.,positive
L414,u9,m0,PATRICK,What?!,negative
L384,u7,m0,MICHAEL,We're your guys.,positive
L383,u9,m0,PATRICK,You two are gonna help me tame the wild beast?,neutral
L382,u7,m0,MICHAEL,Patrick Pat you're not looking at the big picture. Joey's just a pawn. We set this whole thing up so Cameron can get the girl.,neutral
L381,u9,m0,PATRICK,So Dorsey can get the girl?,neutral
L380,u7,m0,MICHAEL,That's where we can help you. With Kat.,positive
L379,u9,m0,PATRICK,Dorsey can plow whoever he wants. I'm just in this for the cash.,neutral
L378,u7,m0,MICHAEL,I think I speak correctly when I say that Cameron's love is pure. Purer than say Joey Dorsey's.,positive
L377,u9,m0,PATRICK,What is it with this chick? She have three tits?,negative
L376,u7,m0,MICHAEL,The situation is my man Cameron here has a major jones for Bianca Stratford.,positive
L375,u9,m0,PATRICK,What plan?,neutral
L373,u9,m0,PATRICK,Whatever the hell it is you're standin' there waitin' to say.,negative
L372,u7,m0,MICHAEL,What?,negative
L371,u9,m0,PATRICK,Say it,neutral
L512,u9,m0,PATRICK,See you next week!,neutral
L511,u8,m0,MISS PERKY,You're completely demented.,negative
L264,u9,m0,PATRICK,Well you know there's the prestige of the job title and the benefits package is pretty good,positive
L263,u8,m0,MISS PERKY,You weren't abused you aren't stupid and as far as I can tell you're only slightly psychotic so why is it that you're such a fuckup?,negative
L262,u9,m0,PATRICK,What's to discuss?,neutral
L261,u8,m0,MISS PERKY,Why don't we discuss your driving need to be a hemorrhoid?,negative
L259,u8,m0,MISS PERKY,I'm at a loss then. What should we talk about? Your year of absence?,negative
L258,u9,m0,PATRICK,Touch of the flu.,positive
L257,u8,m0,MISS PERKY,I don't understand Patrick. You haven't done anything asinine this week. Are you not feeling well?,negative
L62,u8,m0,MISS PERKY,With the teeth of your zipper?,neutral
L61,u9,m0,PATRICK,It was a bratwurst. I was eating lunch.,negative
L60,u8,m0,MISS PERKY,It says here you exposed yourself to a group of freshmen girls.,neutral
L59,u9,m0,PATRICK,I missed you.,positive
L933,u11,m0,WALTER,That ' s what I thought,positive
L932,u10,m0,SHARON,Absolutely not.,negative
L931,u11,m0,WALTER,Did I have anything to say about it?,negative
L930,u10,m0,SHARON,Your daughters went to the prom.,neutral
L929,u11,m0,WALTER,What just happened?,negative
L927,u11,m0,WALTER,But who what?,negative
L926,u10,m0,SHARON,Have a great time honey!,positive
L918,u10,m0,SHARON,Dr. Ruth?,positive
L917,u11,m0,WALTER,What do you wanna watch? We've got crap crap crap or crap,negative
L887,u11,m0,WALTER,Kissing? Is that what you think happens? Kissing isn't what keeps me up to my elbows in placenta all day.,negative
L886,u10,m0,SHARON,They'll dance they'll kiss they'll come home. Let her go.,neutral
L877,u11,m0,WALTER,Pirate no question.,neutral
L876,u10,m0,SHARON,Would you rather be ravished by a pirate or a British rear admiral?,neutral
L193,u11,m0,WALTER,You're not helping.,negative
L192,u10,m0,SHARON,Tumescent!,positive
L191,u11,m0,WALTER,Jesus! Can a man even grab a sandwich before you women start dilating?,negative
L171,u11,m0,WALTER,Sarah Lawrence is on the other side of the country.,positive
L170,u10,m0,SHARON,What's a synonym for throbbing?,negative
L162,u11,m0,WALTER,Make anyone cry today?,neutral
L161,u10,m0,SHARON,In the microwave.,neutral
